title,link,breadcrumbs,description
Home | MSU Libraries,https://lib.msu.edu/,https://lib.msu.edu,"MSU Libraries has a wealth of resources to help with distance learning, including streaming media, reliable information about COVID-19, and more. The one-east section of the Main Library is now open for study, computer use, and printing Monday - Friday from 9:00 am - 5:00 pm. View or search all of MSU Libraries' Features."
Montana State University Library - MSU Library | Montana ...,https://www.lib.montana.edu/,https://www.lib.montana.edu,"MSU Library P.O. Box 173320 Centennial Mall Bozeman, MT 59717-3320. Administration (406) 994-3119 Service Desk (406) 994-3139 . Ask the Library. Staff Directory. Library Accounts. Accessibility. Site Index and Site Search . Facebook Twitter Instagram Youtube"
Libraries - Missouri State University,https://libraries.missouristate.edu/,https://libraries.missouristate.edu,"Oct 18, 2021 · Discover@MSU. MSU Libraries arranges trial access to electronic resources to get feedback on them as part of the subscription evaluation process. During the trial period, you are encouraged to use these e-resources and provide feedback via Feedback."
Find - MSU Library | Montana State University,https://www.lib.montana.edu/find/,https://www.lib.montana.edu/find,"MSU Library P.O. Box 173320 Centennial Mall Bozeman, MT 59717-3320. Administration (406) 994-3119 Service Desk (406) 994-3139 . Ask the Library. Staff Directory"
Home - Mississippi State University Libraries,http://library.msstate.edu/,library.msstate.edu,"Mississippi State University is an equal opportunity institution. Discrimination in university employment, programs or activities based on race, color, ethnicity, sex, pregnancy, religion, national origin, disability, age, sexual orientation, gender identity, genetic information, status as a U.S. veteran, or any other status protected by applicable law is prohibited."
University Libraries - Waterfield Library,http://lib.murraystate.edu/,lib.murraystate.edu,Curriculum Material Center. Murray State Institutional Repository. Racer Oral Communication Center. Racer Writing Center. Einstein Bagels. Wrather West KY Museum. Pogue Library.
MSU Billings Library - MSU Billings | MSU Billings,https://www.msubillings.edu/library/,https://www.msubillings.edu/library,"MSUB Library (September 8 - December 15, 2021) Monday - Thursday 8:00 am - 9:00 pm Friday 8:00 am - 5:00 pm Saturday Closed Sunday 3:00 pm - 9:00 pm Library hours subject to …"
MSU Library | Experience MSU,https://tour.msu.edu/locations/library,https://tour.msu.edu/locations/library,"The MSU Libraries house a collection of over 6 million print and electronic volumes, 235,000 maps, 85,844 sound recordings and films/videos and nearly 7,000,000 microfilm/microfiche.The digital collections created from MSU Libraries' holdings exceed 100 terabytes and cover the breadth of collecting areas from Agriculture to Veterinary Medicine."
library.msu.ac.zw - Midlands State University Library,https://library.msu.ac.zw/,https://library.msu.ac.zw,"The MSU Library through its network of libraries and electronic resource centres provides research collections that are responsive to current and future teaching, learning and research needs of the University. As the MSU Library we wish to continue providing access to appropriate information resources that support quality research and teaching."
"Library Services | Minnesota State University, Mankato",https://library.mnsu.edu/,https://library.mnsu.edu,"Dec 08, 2021 · Memorial Library601 Maywood Ave.Mankato, MN 56002-8419. See Maps & Directions. 507-389-5931 (Checkout Desk) 507-389-6201 (Hours) Contact Us."
